,0
223,"('of achilles it', 3)"
224,"('it is so', 3)"
225,"('and i already', 3)"
226,"('of achilles my', 3)"
227,"('i finished it', 3)"
228,"('achilles i think', 3)"
229,"('of achilles while', 3)"
230,"('thank you for', 3)"
231,"('need to read', 3)"
232,"('that the song', 3)"
233,"('circe and the', 3)"
234,"('ivykungu the song', 3)"
235,"('in love with', 3)"
236,"('rereading the song', 3)"
237,"('really want to', 3)"
238,"('started reading the', 3)"
239,"('if u like', 3)"
240,"('the first time', 3)"
241,"('a copy of', 3)"
242,"('talking about the', 3)"
243,"('i already know', 3)"
244,"('as achilles and', 3)"
245,"('i need a', 3)"
246,"('know i will', 3)"
247,"('and i need', 3)"
248,"('into the song', 3)"
249,"('is one of', 3)"
250,"('down the song', 3)"
251,"('of achilles been', 3)"
252,"('and dante discover', 3)"
253,"('of achilles this', 3)"
254,"('a little life', 3)"
255,"('start song of', 3)"
256,"('silence of the', 3)"
257,"('of the girls', 3)"
258,"('be a good', 3)"
259,"('that song of', 3)"
260,"('from the pov', 3)"
261,"('where the crawdads', 3)"
262,"('in front of', 3)"
263,"('of achilles read', 3)"
264,"('of achilles just', 3)"
265,"('achilles and now', 3)"
266,"('of my fav', 3)"
267,"('the trojan war', 3)"
268,"('got the song', 3)"
269,"('in song of', 3)"
270,"('i feel like', 3)"
271,"('but i have', 3)"
272,"('achilles is my', 3)"
273,"('want to buy', 3)"
274,"('going to start', 3)"
275,"('for the third', 3)"
276,"('the third time', 3)"
277,"('third time is', 3)"
278,"('time is not', 3)"
279,"('is not a', 3)"
280,"('not a healthy', 3)"
281,"('a healthy coping', 3)"
282,"('is song of', 3)"
283,"('about song of', 3)"
284,"('is reading the', 3)"
285,"('i read song', 3)"
286,"('i will read', 2)"
287,"('librarylinm the song', 2)"
288,"('i finished reading', 2)"
289,"('the book song', 2)"
290,"('of achilles because', 2)"
291,"('achilles madeline miller', 2)"
292,"('to have the', 2)"
293,"('the book the', 2)"
294,"('of achilles tomorrow', 2)"
295,"('got song of', 2)"
296,"('front of the', 2)"
297,"('of achilles said', 2)"
298,"('of my soul', 2)"
299,"('am made of', 2)"
300,"('only read the', 2)"
301,"('book but i', 2)"
302,"('take on the', 2)"
303,"('it would be', 2)"
304,"('a month since', 2)"
305,"('month since i', 2)"
306,"('finished the book', 2)"
307,"('every time i', 2)"
308,"('on my shelf', 2)"
309,"('listening to the', 2)"
310,"('chapter of the', 2)"
311,"('cry at the', 2)"
312,"('recover from the', 2)"
313,"('the same author', 2)"
314,"('read a book', 2)"
315,"('has made me', 2)"
316,"('book is so', 2)"
317,"('a thread but', 2)"
318,"('me cry like', 2)"
319,"('cry like a', 2)"
320,"('like a baby', 2)"
321,"('lmk if u', 2)"
322,"('if u want', 2)"
323,"('of achilles movie', 2)"
324,"('just started the', 2)"
325,"('achilles and wow', 2)"
326,"('read it but', 2)"
327,"('of achilles text', 2)"
328,"('im currently reading', 2)"
329,"('i would not', 2)"
330,"('has anyone read', 2)"
331,"('read both the', 2)"
332,"('both the song', 2)"
333,"('to prepare myself', 2)"
334,"('prepare myself for', 2)"
335,"('i am literally', 2)"
336,"('achilles rn and', 2)"
337,"('i bought the', 2)"
338,"('friends to lovers', 2)"
339,"('achilles is really', 2)"
340,"('end and the', 2)"
341,"('up the song', 2)"
342,"('tell me if', 2)"
343,"('author and i', 2)"
344,"('and i loved', 2)"
345,"('the bright places', 2)"
346,"('after i finish', 2)"
347,"('knew of his', 2)"
348,"('achilles and this', 2)"
349,"('so good that', 2)"
350,"('not only have', 2)"
351,"('only have i', 2)"
352,"('im not saying', 2)"
353,"('for over a', 2)"
354,"('book of the', 2)"
355,"('who read the', 2)"
356,"('a gay relationship', 2)"
357,"('and im liking', 2)"
358,"('lord of the', 2)"
359,"('of evelyn hugo', 2)"
360,"('circe by the', 2)"
361,"('want to be', 2)"
362,"('of achilles no', 2)"
363,"('one talk to', 2)"
364,"('of achilles as', 2)"
365,"('why am i', 2)"
366,"('to continue reading', 2)"
367,"('continue reading the', 2)"
368,"('in the next', 2)"
369,"('is my favorite', 2)"
370,"('the amount of', 2)"
371,"('me so i', 2)"
372,"('i did not', 2)"
373,"('im so excited', 2)"
374,"('is perfect for', 2)"
375,"('perfect for fans', 2)"
376,"('tells the story', 2)"
377,"('helen of troy', 2)"
378,"('loved song of', 2)"
379,"('never read the', 2)"
380,"('would be a', 2)"
381,"('finally finished the', 2)"
382,"('both die in', 2)"
383,"('and i have', 2)"
384,"('but the way', 2)"
385,"('have u read', 2)"
386,"('u read song', 2)"
387,"('for the next', 2)"
388,"('would know her', 2)"
389,"('is so beautifully', 2)"
390,"('of achilles omg', 2)"
391,"('wrote the song', 2)"
392,"('achilles yesterday and', 2)"
393,"('yesterday and i', 2)"
394,"('this book down', 2)"
395,"('i listen to', 2)"
396,"('go to a', 2)"
397,"('me of the', 2)"
398,"('i hate it', 2)"
399,"('tell me the', 2)"
400,"('that i am', 2)"
401,"('going to read', 2)"
402,"('by the song', 2)"
403,"('i need the', 2)"
404,"('to talk about', 2)"
405,"('talk about it', 2)"
406,"('the pain of', 2)"
407,"('it made me', 2)"
408,"('going to be', 2)"
409,"('to be the', 2)"
410,"('achilles but it', 2)"
411,"('achilles while listening', 2)"
412,"('while listening to', 2)"
413,"('listening to sufjan', 2)"
414,"('at the same', 2)"
415,"('read the original', 2)"
416,"('aristotle and dante', 2)"
417,"('in a way', 2)"
418,"('on the tl', 2)"
419,"('to buy the', 2)"
420,"('the book and', 2)"
421,"('but i love', 2)"
422,"('while reading the', 2)"
423,"('finally reading the', 2)"
424,"('is a book', 2)"
425,"('read it and', 2)"
426,"('loved this book', 2)"
427,"('i will never', 2)"
428,"('of achilles like', 2)"
429,"('ready player one', 2)"
430,"('are some of', 2)"
431,"('to get my', 2)"
432,"('get my heart', 2)"
433,"('my heart broken', 2)"
434,"('am now reading', 2)"
435,"('now reading the', 2)"
436,"('to get the', 2)"
437,"('but i already', 2)"
438,"('and i finished', 2)"
439,"('of achilles again', 2)"
440,"('of achilles also', 2)"
441,"('history is all', 2)"
442,"('is all you', 2)"
443,"('all you left', 2)"
444,"('for the first', 2)"
445,"('madeline miller and', 2)"
446,"('i have no', 2)"
447,"('read all of', 2)"
448,"('are you with', 2)"
449,"('you with the', 2)"
450,"('to read and', 2)"
451,"('of the most', 2)"
452,"('start she who', 2)"
453,"('she who became', 2)"
454,"('who became the', 2)"
455,"('became the sun', 2)"
456,"('meets song of', 2)"
457,"('this is one', 2)"
458,"('men have told', 2)"
459,"('have told the', 2)"
460,"('told the legend', 2)"
461,"('the legend of', 2)"
462,"('legend of the', 2)"
463,"('of the woman', 2)"
464,"('the woman whose', 2)"
465,"('woman whose face', 2)"
466,"('whose face launched', 2)"
467,"('face launched a', 2)"
468,"('launched a thousand', 2)"
469,"('time to hear', 2)"
470,"('to hear her', 2)"
471,"('hear her side', 2)"
472,"('her side of', 2)"
473,"('side of the', 2)"
474,"('is a good', 2)"
475,"('you have to', 2)"
476,"('anyone who says', 2)"
477,"('put down the', 2)"
478,"('achilles by madeleine', 2)"
479,"('for the past', 2)"
480,"('barnes and nobles', 2)"
481,"('as much as', 2)"
482,"('much as i', 2)"
483,"('the greatest work', 2)"
484,"('greatest work of', 2)"
485,"('work of nonfiction', 2)"
486,"('of nonfiction in', 2)"
487,"('nonfiction in human', 2)"
488,"('patroclus in the', 2)"
489,"('because i know', 2)"
490,"('to anyone who', 2)"
491,"('idk if its', 2)"
492,"('after finishing the', 2)"
493,"('when talking about', 2)"
494,"('achilles this morning', 2)"
495,"('still not over', 2)"
496,"('not over the', 2)"
497,"('and all i', 2)"
498,"('read it i', 2)"
499,"('i recommend you', 2)"
500,"('recommend you read', 2)"
501,"('so far i', 2)"
502,"('of addie larue', 2)"
503,"('or so pages', 2)"
504,"('made me feel', 2)"
505,"('of achilles after', 2)"
506,"('hate it here', 2)"
507,"('it here so', 2)"
508,"('this is the', 2)"
509,"('the book thief', 2)"
510,"('to start song', 2)"
511,"('of achilles at', 2)"
512,"('achilles at the', 2)"
513,"('at the beach', 2)"
514,"('on from the', 2)"
515,"('is on my', 2)"
516,"('thinking about the', 2)"
517,"('the fact that', 2)"
518,"('and i will', 2)"
519,"('will finish the', 2)"
520,"('want to finish', 2)"
521,"('this is a', 2)"
522,"('a good kind', 2)"
523,"('good kind of', 2)"
524,"('but i just', 2)"
525,"('can tell me', 2)"
526,"('end of song', 2)"
527,"('i would love', 2)"
528,"('would love to', 2)"
529,"('a touch of', 2)"
530,"('of achilles why', 2)"
531,"('achilles i literally', 2)"
532,"('i literally want', 2)"
533,"('has me feeling', 2)"
534,"('of achilles which', 2)"
535,"('but i think', 2)"
536,"('achilles said to', 2)"
537,"('but i am', 2)"
538,"('the pov of', 2)"
539,"('of achilles wish', 2)"
540,"('achilles wish me', 2)"
541,"('grassreads the song', 2)"
542,"('just started reading', 2)"
543,"('started reading song', 2)"
544,"('in the world', 2)"
545,"('more moots so', 2)"
546,"('some of my', 2)"
547,"('of my favorite', 2)"
548,"('so i just', 2)"
549,"('to reread the', 2)"
550,"('the most beautiful', 2)"
551,"('when i read', 2)"
552,"('in two days', 2)"
553,"('in the library', 2)"
554,"('so fucking good', 2)"
555,"('i just know', 2)"
556,"('my fav book', 2)"
557,"('book i read', 2)"
558,"('was the song', 2)"
559,"('i do not', 2)"
560,"('oddditea song of', 2)"
561,"('set around the', 2)"
562,"('in one day', 2)"
563,"('one day and', 2)"
564,"('of achilles that', 2)"
565,"('of achilles first', 2)"
566,"('i know the', 2)"
567,"('but i had', 2)"
568,"('was song of', 2)"
569,"('gldnwndwsll the song', 2)"
570,"('or the song', 2)"
571,"('with us by', 2)"
572,"('us by colleen', 2)"
573,"('im new to', 2)"
574,"('the mistake of', 2)"
575,"('to the audiobook', 2)"
576,"('achilles if u', 2)"
577,"('im looking for', 2)"
578,"('i love the', 2)"
579,"('read it so', 2)"
580,"('both of them', 2)"
581,"('say song of', 2)"
582,"('of my favs', 2)"
583,"('and i think', 2)"
584,"('and the seven', 2)"
585,"('of achilles when', 2)"
586,"('know what to', 2)"
587,"('what to do', 2)"
588,"('young royals on', 2)"
589,"('read that in', 2)"
590,"('for like years', 2)"
591,"('up to the', 2)"
592,"('to the hype', 2)"
593,"('and one of', 2)"
594,"('one of us', 2)"
595,"('will never be', 2)"
596,"('loved the song', 2)"
597,"('and i love', 2)"
598,"('achilles or they', 2)"
599,"('or they both', 2)"
600,"('recommend song of', 2)"
601,"('to sleep early', 2)"
602,"('and finished reading', 2)"
603,"('recently started reading', 2)"
604,"('i would recommend', 2)"
605,"('just finished it', 2)"
606,"('wants me to', 2)"
607,"('of achilles destroyed', 2)"
608,"('we were villains', 2)"
609,"('achilles in one', 2)"
610,"('and read the', 2)"
611,"('do i need', 2)"
612,"('achilles i have', 2)"
613,"('no idea what', 2)"
614,"('listening to song', 2)"
615,"('and i cried', 2)"
616,"('but it is', 2)"
617,"('the middle of', 2)"
618,"('achilles and it', 2)"
619,"('why did i', 2)"
620,"('been wanting to', 2)"
621,"('wanting to read', 2)"
622,"('young royals should', 2)"
623,"('royals should play', 2)"
624,"('achilles i will', 2)"
625,"('the need to', 2)"
626,"('achilles with the', 2)"
627,"('of achilles once', 2)"
628,"('to be a', 2)"
629,"('recommended song of', 2)"
630,"('royals and the', 2)"
631,"('this but i', 2)"
632,"('know how to', 2)"
633,"('the sun is', 2)"
634,"('sun is also', 2)"
635,"('is also a', 2)"
636,"('a tweet to', 2)"
637,"('of achilles adaptation', 2)"
638,"('the characters in', 2)"
639,"('characters in the', 2)"
640,"('i am the', 2)"
641,"('have a lot', 2)"
642,"('kyeomiekoo song of', 2)"
643,"('character lgbt rep', 2)"
644,"('lgbt rep in', 2)"
645,"('the next few', 2)"
646,"('a book i', 2)"
647,"('reaching through the', 2)"
648,"('and light spills', 2)"
649,"('light spills in', 2)"
650,"('spills in a', 2)"
651,"('in a flood', 2)"
652,"('a flood like', 2)"
653,"('flood like a', 2)"
654,"('like a hundred', 2)"
655,"('a hundred golden', 2)"
656,"('hundred golden urns', 2)"
657,"('golden urns pouring', 2)"
658,"('urns pouring out', 2)"
659,"('a thousand splendid', 2)"
660,"('and then there', 2)"
661,"('then there were', 2)"
662,"('obsessed with song', 2)"
663,"('madeline miller i', 2)"
664,"('to be left', 2)"
665,"('in a lake', 1)"
666,"('a lake of', 1)"
667,"('lake of tears', 1)"
668,"('of tears cause', 1)"
669,"('tears cause i', 1)"
670,"('cause i finished', 1)"
671,"('stanmenfess the midnight', 1)"
672,"('midnight library by', 1)"
673,"('library by matt', 1)"
674,"('royal blue by', 1)"
675,"('blue by casey', 1)"
676,"('almond by won', 1)"
677,"('by won pyung', 1)"
678,"('the end by', 1)"
679,"('end by adam', 1)"
680,"('by adam silvera', 1)"
681,"('serial bumi by', 1)"
682,"('bumi by tere', 1)"
683,"('lighthaos the song', 1)"
684,"('of achilles hits', 1)"
685,"('achilles hits so', 1)"
686,"('hold up since', 1)"
687,"('sick today i', 1)"
688,"('today i will', 1)"
689,"('of achilles all', 1)"
690,"('achilles all over', 1)"
691,"('all over again', 1)"
692,"('or the kite', 1)"
693,"('cant stop from', 1)"
694,"('stop from reliving', 1)"
695,"('from reliving the', 1)"
696,"('reliving the song', 1)"
697,"('achilles with wilhelm', 1)"
698,"('with wilhelm and', 1)"
699,"('wilhelm and simon', 1)"
700,"('and simon aaaaaaaaaa', 1)"
701,"('was about the', 1)"
702,"('about the book', 1)"
703,"('akinorikonohoe i just', 1)"
704,"('i am very', 1)"
705,"('am very much', 1)"
706,"('very much not', 1)"
707,"('just reminded me', 1)"
708,"('reminded me that', 1)"
709,"('me that i', 1)"
710,"('that i should', 1)"
711,"('i should restart', 1)"
712,"('should restart the', 1)"
713,"('restart the song', 1)"
714,"('achilles because i', 1)"
715,"('i forgot which', 1)"
716,"('forgot which part', 1)"
717,"('which part i', 1)"
718,"('part i was', 1)"
719,"('and actually read', 1)"
720,"('actually read the', 1)"
721,"('read the invisible', 1)"
722,"('of addie la', 1)"
723,"('addie la rue', 1)"
724,"('rn with the', 1)"
725,"('jjjjjeongguk the song', 1)"
726,"('of achilles amiga', 1)"
727,"('achilles amiga vc', 1)"
728,"('amiga vc iria', 1)"
729,"('vc iria amar', 1)"
730,"('the penelopiad margaret', 1)"
731,"('the greek myths', 1)"
732,"('our greatest story', 1)"
733,"('greatest story stephen', 1)"
734,"('the myths of', 1)"
735,"('myths of the', 1)"
736,"('of the ancient', 1)"
737,"('the ancient greek', 1)"
738,"('ancient greek heroes', 1)"
739,"('greek heroes stephen', 1)"
740,"('thousand ships natalie', 1)"
741,"('i thought i', 1)"
742,"('thought i was', 1)"
743,"('i was going', 1)"
744,"('was going to', 1)"
745,"('going to have', 1)"
746,"('have the book', 1)"
747,"('achilles tomorrow but', 1)"
748,"('lighthaos the last', 1)"
749,"('the last twooo', 1)"
750,"('been meaning to', 1)"
751,"('meaning to read', 1)"
752,"('to read for', 1)"
753,"('read for years', 1)"
754,"('finally got song', 1)"
755,"('read it soon', 1)"
756,"('it has just', 1)"
757,"('has just occurred', 1)"
758,"('just occurred to', 1)"
759,"('occurred to me', 1)"
760,"('me that my', 1)"
761,"('that my mum', 1)"
762,"('my mum has', 1)"
763,"('mum has seen', 1)"
764,"('has seen my', 1)"
765,"('seen my copy', 1)"
766,"('copy of song', 1)"
767,"('even notice that', 1)"
768,"('notice that it', 1)"
769,"('that it has', 1)"
770,"('it has a', 1)"
771,"('has a review', 1)"
772,"('a review on', 1)"
773,"('review on the', 1)"
774,"('on the front', 1)"
775,"('the front of', 1)"
776,"('of the book', 1)"
777,"('the book calling', 1)"
778,"('book calling it', 1)"
779,"('want to know', 1)"
780,"('to know what', 1)"
781,"('know what she', 1)"
782,"('we were like', 1)"
783,"('were like gods', 1)"
784,"('like gods at', 1)"
785,"('gods at the', 1)"
786,"('at the dawning', 1)"
787,"('the dawning of', 1)"
788,"('dawning of the', 1)"
789,"('our joy was', 1)"
790,"('joy was so', 1)"
791,"('was so bright', 1)"
792,"('so bright we', 1)"
793,"('bright we could', 1)"
794,"('we could see', 1)"
795,"('could see nothing', 1)"
796,"('see nothing else', 1)"
797,"('nothing else but', 1)"
798,"('else but the', 1)"
799,"('my soul as', 1)"
800,"('soul as the', 1)"
801,"('will never leave', 1)"
802,"('it will be', 1)"
803,"('for as long', 1)"
804,"('as long as', 1)"
805,"('long as he', 1)"
806,"('as he will', 1)"
807,"('he will let', 1)"
808,"('he waits for', 1)"
809,"('im supposed to', 1)"
810,"('supposed to move', 1)"
811,"('to move on', 1)"
812,"('of achilles cause', 1)"
813,"('achilles cause i', 1)"
814,"('cause i miss', 1)"
815,"('i miss that', 1)"
816,"('miss that person', 1)"
817,"('that person so', 1)"
818,"('person so freaking', 1)"
819,"('those two song', 1)"
820,"('two song of', 1)"
821,"('of achilles were', 1)"
822,"('achilles were the', 1)"
823,"('were the books', 1)"
824,"('the books i', 1)"
825,"('books i really', 1)"
826,"('i really wanted', 1)"
827,"('really wanted to', 1)"
828,"('wanted to get', 1)"
829,"('to get and', 1)"
830,"('to read themmn', 1)"
831,"('addie larue was', 1)"
832,"('larue was so', 1)"
833,"('was so much', 1)"
834,"('so much bigger', 1)"
835,"('much bigger than', 1)"
836,"('bigger than i', 1)"
837,"('i was shocked', 1)"
838,"('ive only read', 1)"
839,"('read the first', 1)"
840,"('the first hp', 1)"
841,"('first hp book', 1)"
842,"('hp book but', 1)"
843,"('read the rest', 1)"
844,"('is my take', 1)"
845,"('my take on', 1)"
846,"('on the famous', 1)"
847,"('the famous book', 1)"
848,"('of achilles instead', 1)"
849,"('achilles instead of', 1)"
850,"('instead of playing', 1)"
851,"('of playing with', 1)"
852,"('playing with the', 1)"
853,"('with the flow', 1)"
854,"('the flow of', 1)"
855,"('flow of the', 1)"
856,"('of the story', 1)"
857,"('i am more', 1)"
858,"('am more likely', 1)"
859,"('more likely to', 1)"
860,"('likely to play', 1)"
861,"('to play with', 1)"
862,"('play with the', 1)"
863,"('with the parallels', 1)"
864,"('the parallels i', 1)"
865,"('parallels i found', 1)"
866,"('i found between', 1)"
867,"('found between bkdk', 1)"
868,"('and the lovers', 1)"
869,"('the lovers patroclus', 1)"
870,"('lovers patroclus and', 1)"
871,"('achilles which is', 1)"
872,"('my bestie warned', 1)"
873,"('bestie warned me', 1)"
874,"('warned me it', 1)"
875,"('me it would', 1)"
876,"('would be sad', 1)"
877,"('be sad so', 1)"
878,"('sad so saving', 1)"
879,"('so saving that', 1)"
880,"('saving that for', 1)"
881,"('that for when', 1)"
882,"('for when i', 1)"
883,"('heartstopper vol by', 1)"
884,"('vol by alice', 1)"
885,"('had some extra', 1)"
886,"('some extra bday', 1)"
887,"('extra bday money', 1)"
888,"('bday money so', 1)"
889,"('money so decided', 1)"
890,"('so decided to', 1)"
891,"('decided to get', 1)"
892,"('you people warn', 1)"
893,"('sucked me in', 1)"
894,"('me in only', 1)"
895,"('in only to', 1)"
896,"('only to fling', 1)"
897,"('to fling me', 1)"
898,"('fling me about', 1)"
899,"('me about in', 1)"
900,"('about in the', 1)"
901,"('in the end', 1)"
902,"('have read the', 1)"
903,"('achilles if not', 1)"
904,"('if not then', 1)"
905,"('not then read', 1)"
906,"('then read that', 1)"
907,"('dankxica ok no', 1)"
908,"('ok no i', 1)"
909,"('no i saw', 1)"
910,"('i saw the', 1)"
911,"('saw the song', 1)"
912,"('librarylinm i was', 1)"
913,"('i was literally', 1)"
914,"('was literally about', 1)"
915,"('literally about to', 1)"
916,"('about to say', 1)"
917,"('it was such', 1)"
918,"('was such a', 1)"
919,"('has been over', 1)"
920,"('been over a', 1)"
921,"('over a month', 1)"
922,"('book but every', 1)"
923,"('but every time', 1)"
924,"('time i think', 1)"
925,"('i think of', 1)"
926,"('think of the', 1)"
927,"('achilles i still', 1)"
928,"('i still sob', 1)"
929,"('is so boring', 1)"
930,"('so boring why', 1)"
931,"('boring why everyone', 1)"
932,"('why everyone says', 1)"
933,"('everyone says that', 1)"
934,"('says that this', 1)"
935,"('that this book', 1)"
936,"('omg i keep', 1)"
937,"('i keep seeing', 1)"
938,"('keep seeing that', 1)"
939,"('seeing that book', 1)"
940,"('that book on', 1)"
941,"('is it a', 1)"
942,"('it a good', 1)"
943,"('achilles rn bcs', 1)"
944,"('rn bcs i', 1)"
945,"('bcs i forgot', 1)"
946,"('i forgot abt', 1)"
947,"('forgot abt it', 1)"
948,"('abt it on', 1)"
949,"('it on my', 1)"
950,"('start listening to', 1)"
951,"('of achilles audiobook', 1)"
952,"('tukeran kado sm', 1)"
953,"('haha i buy', 1)"
954,"('i buy her', 1)"
955,"('buy her an', 1)"
956,"('her an album', 1)"
957,"('an album and', 1)"
958,"('buy me the', 1)"
959,"('achilles and normal', 1)"
960,"('only on chapter', 1)"
961,"('on chapter of', 1)"
962,"('and i alr', 1)"
963,"('i alr know', 1)"
964,"('achilles to feel', 1)"
965,"('to feel something', 1)"
966,"('really need to', 1)"
967,"('need to finish', 1)"
968,"('of achilles bcos', 1)"
969,"('achilles bcos i', 1)"
970,"('bcos i have', 1)"
971,"('i have another', 1)"
972,"('have another book', 1)"
973,"('another book in', 1)"
974,"('book in my', 1)"
975,"('in my waiting', 1)"
976,"('my waiting list', 1)"
977,"('of achilles right', 1)"
978,"('hes waiting for', 1)"
979,"('waiting for you', 1)"
980,"('cause i cant', 1)"
981,"('i cant recover', 1)"
982,"('cant recover from', 1)"
983,"('finally have the', 1)"
