,words,repeated
121,wrapped in,1
122,the art,388
123,art of,585
124,of war,239
125,war you,3
126,you cant,0
127,cant possibly,0
128,possibly except,1
129,except an,1
130,an unbiased,1
131,unbiased opinion,1
132,opinion on,1
133,on war,0
134,war The,0
135,The only,0
136,only way,2
137,way to,5
138,to prevent,1
139,prevent moral,1
140,moral injury,1
141,injury is,1
142,is to,41
143,to feel,1
144,feel justified,1
145,justified and,1
146,and rectified,0
147,rectified Some,0
148,Some people,0
149,people are,3
150,are better,1
151,better at,1
152,at convincing,1
153,convincing themselves,1
154,themselves than,1
155,than others,0
156,others veteransuicideawarenesss,0
157,JaromeBellVA âœLet,0
158,âœLet your,0
159,your plans,5
160,plans be,5
161,be dark,5
162,dark and,5
163,and impenetrable,4
164,impenetrable as,5
165,as night,0
166,night and,0
167,and when,10
168,when you,19
169,you move,0
170,move fall,0
171,fall like,5
172,like a,12
173,a thunderboltâ,0
174,tradigiart I,0
175,I think,0
176,think Benji,0
177,Benji did,0
178,did say,1
179,say on,1
180,on stream,1
181,stream that,1
182,that he,12
183,he felt,1
184,felt like,3
185,like it,2
186,it was,13
187,was a,17
188,a moment,1
189,moment of,1
190,of rage,1
191,rage or,1
192,or something,2
193,something like,2
194,like that,3
195,that from,2
196,from Dundee,0
197,Dundee I,0
198,I donât,0
199,donât think,0
200,think he,1
201,he took,1
202,took the,1
203,the text,2
204,text as,1
205,as a,10
206,a war,23
207,war cry,0
208,cry but,0
209,but I,0
210,I do,0
211,do agree,1
212,agree that,1
213,he manipulated,1
214,manipulated Riley,0
215,Riley entirely,0
216,entirely I,0
217,I mean,0
218,mean he,1
219,he even,1
220,even told,1
221,told her,1
222,her that,1
223,that heâs,0
224,heâs done,0
225,done with,2
226,with the,20
227,the BBMC,0
228,BBMC after,0
229,after all,1
230,all that,2
231,TheRealZemy To,0
232,To me,0
233,me I,0
234,I felt,0
235,like the,13
236,text was,1
237,a horribly,1
238,horribly written,1
239,written Declaration,0
240,Declaration of,0
241,War You,0
242,You taught,0
243,taught my,1
244,my club,1
245,club to,1
246,to not,1
247,not trust,1
248,trust you,0
249,you thanks,0
250,thanks That,0
251,That gives,0
252,gives them,1
253,them the,5
254,the motive,1
255,motive to,1
256,to kill,2
257,kill you,0
258,you kind,0
259,kind of,5
260,of vibe,0
261,vibe Benji,0
262,Benji just,0
263,just manipulated,1
264,manipulated her,1
265,her and,1
266,and she,1
267,she drew,1
268,drew the,1
269,the line,3
270,line at,1
271,at it,0
272,Great guests,0
273,guests They,0
274,They were,0
275,were totally,1
276,totally respectful,1
277,respectful of,1
278,of the,201
279,the apartment,0
280,apartment I,0
281,I would,0
282,would love,2
283,love to,2
284,to have,6
285,have them,1
286,them again,0
287,again The,0
288,War A,0
289,A Graphic,0
290,Graphic Novel,0
291,Novel by,0
292,by Sun,0
293,Tzu amp,0
294,amp Pete,0
295,Pete Katz,0
296,Katz httpstcoiXPlszk,0
297,brokedm The,0
298,The office,0
299,office cannon,1
300,cannon is,1
301,is doing,1
302,doing fine,0
303,fine even,0
304,even if,4
305,if one,1
306,one of,20
307,the officers,1
308,officers dropped,1
309,dropped by,1
310,by today,1
311,today and,1
312,and tried,1
313,tried to,2
314,to claim,1
315,claim he,1
316,he wanted,1
317,wanted it,1
318,it for,3
319,for his,5
320,his own,4
321,own office,1
322,office ðŸ,0
323,ðŸ Our,0
324,Our oldest,0
325,oldest manuscript,1
326,manuscript is,1
327,is Fl,0
328,Fl Vegetii,0
329,Vegetii Renari,0
330,Renari Viri,0
331,Viri from,0
332,from The,0
333,The next,0
334,next oldest,1
335,oldest is,1
336,is Machiavellis,0
337,Machiavellis Art,0
338,War in,0
339,in an,8
340,an translation,1
341,translation from,1
342,from httpstcoRekokDImy,0
343,Starting to,0
344,to read,8
345,read the,32
346,the book,6
347,book The,0
348,The War,0
349,War of,0
350,of Art,0
351,Art and,0
352,and already,1
353,already starting,1
354,starting to,1
355,to see,4
356,see the,4
357,the patterns,1
358,patterns ive,1
359,ive been,1
360,been in,0
361,IAmJohnAles Guns,0
362,Guns and,0
363,and trucks,1
364,trucks wont,0
365,wont do,0
366,do that,0
367,that All,0
368,All thatll,0
369,thatll happen,0
370,happen is,1
371,is the,51
372,the far,1
373,far right,1
374,right will,1
375,will decide,1
376,decide the,1
377,the ammo,1
378,ammo needed,1
379,needed to,2
380,to take,9
381,take a,3
382,a liberals,0
383,liberals gun,0
384,gun is,1
385,is cheaper,1
386,cheaper than,1
387,than buying,1
388,buying a,1
389,a new,10
390,new one,0
391,Your best,0
392,best guides,1
393,guides are,1
394,are Art,0
395,War Book,0
396,Book of,0
397,of Five,0
398,Five Rings,0
399,Rings and,0
400,and The,0
401,The Prince,0
402,GregDavison Patience,0
403,Patience These,0
404,These culture,0
405,culture skirmishes,1
406,skirmishes take,1
407,take time,0
408,âœSupreme excellence,0
409,excellence consists,3
410,consists of,1
411,of breaking,1
412,breaking the,3
413,the enemys,0
414,enemys resistance,0
415,resistance without,3
416,without fightingâ,0
417,Our MondayMotivation,0
418,MondayMotivation quote,0
419,quote is,1
420,is from,3
421,from the,31
422,the nd,0
423,nd paper,0
424,paper in,1
425,the June,0
426,June TIMReview,0
427,TIMReview We,0
428,We are,0
429,are not,6
430,not fit,1
431,fit to,1
432,to lead,3
433,lead an,1
434,an army,2
435,army on,1
436,on the,50
437,the march,1
438,march unless,1
439,unless we,1
440,we are,7
441,are familiar,1
442,familiar with,1
443,the face,1
444,face of,1
445,the country,5
446,country its,1
447,its mountains,1
448,mountains and,1
449,and forests,0
450,forests its,0
451,its pitfalls,1
452,pitfalls and,1
453,and precipices,0
454,precipices its,0
455,its marshes,1
456,marshes and,1
457,and swamps,0
458,swamps The,0
459,War SunTzu,0
460,loathingvegaz Literally,0
461,Literally basic,0
462,basic bitch,1
463,bitch reading,1
464,reading list,1
465,war wasnt,0
466,wasnt bad,0
467,bad but,0
468,but book,1
469,book of,4
470,of five,2
471,five rings,2
472,rings written,0
473,written by,0
474,by the,21
475,the real,1
476,real musashi,1
477,musashi btw,0
478,btw was,0
479,was much,1
480,much better,0
481,Lose Battles,0
482,Battles But,0
483,But Win,0
484,Win The,0
485,War Grand,0
486,Grand Strategy,0
487,Grand strategy,0
488,strategy is,5
489,of looking,2
490,looking beyond,2
491,beyond the,4
492,the present,2
493,present battle,2
494,battle and,2
495,and calculating,2
496,calculating ahead,0
497,ahead Focus,0
498,Focus on,0
499,on your,2
500,your ultimate,2
501,ultimate goal,2
502,goal and,2
503,and plot,2
504,plot to,2
505,to reach,2
506,reach itâ,0
507,â Robert,0
508,Robert Greene,0
509,MCM DheerajDhoopar,0
510,DheerajDhoopar DD,0
511,DheerajDhoopar httpstcoyWHntMCO,0
512,The age,0
513,age of,5
514,of autonomous,2
515,autonomous war,2
516,war is,57
517,is already,2
518,already here,0
519,here httpstcoRyoNccpgp,0
520,Yes to,0
521,to studio,1
522,studio timeâ,0
523,timeâ No,0
524,No to,0
525,to all,2
526,all the,16
527,the bad,2
528,bad stuff,1
529,stuff going,1
530,going on,2
531,on out,1
532,out there,1
533,Make love,0
534,love not,1
535,not war,2
536,war people,1
537,people and,1
538,and art,4
539,of courseâ,0
540,courseâ whatever,0
541,whatever your,1
542,your art,1
543,art may,1
544,may be,2
545,be ðŸðŸðŸ,0
546,ðŸðŸðŸ peaceout,0
547,peaceout httpstcoalQOGPVQ,0
548,I Sun,0
549,Tzu said,0
550,said The,0
551,The art,0
552,is of,9
553,of vital,5
554,vital importance,5
555,importance to,5
556,to the,61
557,the State,0
558,here httpstcoRLIbQmUn,0
559,sophia Dont,0
560,Dont need,0
561,need pitchforks,1
562,pitchforks âThe,0
563,âThe supreme,0
564,supreme art,27
565,to subdue,28
566,subdue the,25
567,enemy without,28
568,fightingâ â,0
569,Tzu Remove,0
570,Remove the,0
571,the fuel,1
572,fuel from,1
573,the system,0
574,system us,0
575,us httpstcopwepvFG,0
576,httpstcopwepvFG debt,0
577,debt taxes,0
578,taxes media,0
579,media turn,0
580,turn our,1
581,our backs,1
582,backs on,1
583,on it,3
584,it all,1
585,all httpstcoxZknqxK,0
586,Authorized hacking,0
587,hacking back,0
588,back will,0
589,will enable,1
590,enable previously,1
591,previously unrealized,1
592,unrealized asymmetries,1
593,asymmetries for,1
594,the cyber,4
595,cyber adversary,2
596,adversary The,0
597,of Cyber,0
598,Cyber War,0
599,The supreme,0
600,without fighting,4
601,misterj What,0
602,What are,0
603,are her,1
604,her thoughts,1
605,thoughts on,1
606,on Sun,0
607,Tzu My,0
608,My toddler,0
609,toddler needs,1
610,needs a,1
611,a pen,1
612,pen pal,1
613,pal to,1
614,to discuss,1
615,discuss The,0
616,War with,0
617,ART OF,0
618,OF WAR,0
619,Lets face,0
620,face it,1
621,it Alexander,0
622,Alexander the,0
623,the Great,0
624,Great would,0
625,would have,5
626,have kicked,1
627,kicked Sun,0
628,Sun Tzus,0
629,Tzus ass,0
630,ass cutting,0
631,cutting through,1
632,through all,2
633,that mystic,1
634,mystic Taoist,0
635,Taoist poetry,0
636,poetry like,1
637,the Gordian,0
638,Gordian knot,0
639,knot I,0
640,I know,0
641,know it,1
642,it and,2
643,and you,5
644,it Did,0
645,Did I,0
646,I mention,0
647,mention this,1
648,this as,2
649,as an,4
650,an Alexander,0
651,Great stan,0
652,stan account,0
653,pretend you,0
654,you are,28
655,are scared,1
656,scared retreat,1
657,retreat back,1
658,back into,3
659,into the,5
660,the darkness,0
661,darkness do,0
662,do not,7
663,not run,0
664,run and,0
665,and vanish,1
666,vanish at,1
667,at the,23
668,the right,2
669,right moment,0
670,âœThe whole,0
671,whole secret,1
672,secret lies,1
673,lies in,3
674,in confusing,1
675,confusing the,1
676,enemy so,0
677,so that,3
678,he can,0
679,can not,0
680,not fathom,0
681,fathom our,1
682,our real,1
683,real intentâ,0
684,âœThe clever,0
685,clever combatant,1
686,combatant imposes,1
687,imposes their,1
688,their will,2
689,will upon,1
690,upon their,1
691,their opponent,0
692,opponent but,0
693,but does,1
694,does not,6
695,not allow,1
696,allow their,1
697,their opponentâs,0
698,opponentâs will,0
699,will to,1
700,to be,42
701,be imposed,1
702,imposed upon,2
703,upon themâ,0
704,themâ Sun,0
705,Tzu Art,0
706,War Battles,0
707,Battles of,0
708,the will,2
709,will seem,1
710,seem to,1
711,to pervade,1
712,pervade every,1
713,every divorce,0
714,divorce as,0
715,as though,1
716,though the,2
717,the past,4
718,past will,1
719,will be,22
720,be remedied,1
721,remedied by,1
722,the process,1
723,process ArtofDivorce,0
724,ArtofDivorce Divorce,0
725,Feudal Lord,0
726,Lord of,0
727,of The,0
728,The Future,0
729,There is,0
730,is talk,1
731,talk of,1
732,a neofeudalism,0
733,neofeudalism of,0
734,of businessmen,0
735,businessmen This,0
736,This is,0
737,is not,10
738,not particularly,1
739,particularly possible,0
740,possible as,0
741,as they,4
742,they are,23
743,are modern,1
744,modern politickpeople,0
745,politickpeople amp,0
746,amp responsible,0
747,responsible for,4
748,for little,1
749,little more,1
750,more than,5
751,than their,1
752,their own,4
753,own wealth,1
754,wealth amp,0
755,amp can,0
756,can wage,1
757,wage no,1
758,no war,1
759,war amp,0
760,amp are,0
761,are responsible,1
762,responsible only,1
763,only for,1
764,for âjobsâ,0
765,âjobsâ httpstcooacSHtNRx,0
766,LegendaryArrow Zari,0
767,Zari not,0
768,not Zari,0
769,Left Behind,0
770,Beebo the,0
771,the God,0
772,God of,0
773,Raiders of,0
774,the Lost,0
775,Lost Art,0
776,is Gus,0
777,Lucha de,0
778,de Apuestas,0
779,vevekpandian Mindset,0
780,Mindset the,0
781,the new,12
782,new psychology,1
783,psychology of,1
784,of success,1
785,success by,1
786,by Carol,0
787,Carol Dweck,0
788,The war,0
789,war of,40
790,of art,43
791,art by,7
792,by Steven,0
793,Steven Pressfield,0
794,Brain Lock,0
795,Lock by,0
796,by Jeffrey,0
797,Jeffrey M,0
798,M Schwartz,0
799,what about,2
800,about you,0
801,To be,0
802,be sure,0
803,sure I,0
804,I accept,0
805,accept this,0
806,War by,0
807,Tzu ends,0
808,ends with,1
809,with a,11
810,a chapter,1
811,chapter on,1
812,on Spies,0
813,How brilliant,0
814,brilliant would,1
815,would it,1
816,it be,1
817,be to,4
818,have a,10
819,a simple,1
820,simple NYC,0
821,NYC mole,0
822,mole in,1
823,in Tonyâs,0
824,Tonyâs NJ,0
825,NJ lifeðŸââïsuch,0
826,lifeðŸââïsuch as,0
827,as with,1
828,the Lamp,0
829,Lamp amp,0
830,amp The,0
831,The Feds,0
832,Perhaps the,0
833,the Widow,0
834,Widow Pontecorvo,0
835,Pontecorvo hired,0
836,hired NYC,0
837,NYC for,0
838,the hit,2
839,hit amp,0
840,amp used,0
841,used that,1
842,that IntelðŸââï,0
843,EthanVanSciver httpstcohONTjceE,0
844,lanaeasteregg Very,0
845,Very nice,0
846,nice work,0
847,work Nice,0
848,Nice mood,0
849,mood to,1
850,the overall,1
851,overall composition,0
852,composition I,0
853,I once,0
854,once read,1
855,read War,0
856,War and,0
857,and Peace,0
858,Peace a,0
859,a long,3
860,long time,2
861,time ago,1
862,ago amp,0
863,amp whenever,0
864,whenever I,0
865,I hear,0
866,hear Tchaikovskys,0
867,Tchaikovskys it,0
868,it reminds,2
869,reminds me,4
870,me of,4
871,of one,2
872,the most,8
873,most beautiful,2
874,beautiful writings,1
875,writings ever,1
876,ever written,0
877,written No,0
878,No artist,0
879,artist should,1
880,should ever,1
881,ever die,1
882,die without,1
883,without reading,1
884,reading that,1
885,that novel,0
886,novel It,0
887,It inspires,0
888,inspires Life,0
889,Life and,0
890,and Art,0
891,is simple,1
892,simple enough,0
893,enough Find,0
894,Find out,0
895,out where,1
896,where your,1
897,your enemy,10
898,enemy is,8
899,is Get,0
900,Get at,0
901,at him,1
902,him as,2
903,as soon,2
904,soon as,2
905,as you,5
906,you can,5
907,can Strike,0
908,Strike him,0
909,as hard,1
910,hard as,1
911,can and,0
912,and keep,1
913,keep moving,1
914,moving on,0
915,CRISMARxLUCIANA VIBE,0
916,Ethiopian national,0
917,national interest,1
918,interest and,1
919,and sovereignty,1
920,sovereignty can,0
921,not be,8
922,be compromised,1
923,compromised whatever,1
924,whatever a,1
925,a country,2
926,country equipped,1
927,equipped up,1
928,up to,2
929,to date,1
930,date and,1
931,and state,1
932,state of,5
933,art technology,1
934,technology in,1
935,in military,1
936,military hardware,1
937,hardware and,1
938,and welltrained,0
939,welltrained force,0
940,force in,2
941,the region,0
942,region Egypt,0
943,Egypt may,0
944,may win,1
945,win a,2
946,a battle,3
947,battle but,3
948,but will,1
949,will lose,1
950,lose the,2
951,the entire,1
952,entire war,0
953,war GERD,0
954,GERD FillTheDam,0
955,FillTheDam ItsMyDam,0
956,finbarroreilly Like,0
957,Like you,0
958,you lost,1
959,lost in,1
960,in Vietnam,0
961,Vietnam Iraq,0
962,Iraq and,0
963,and Afghanistan,0
964,Afghanistan Ethiopia,0
965,Ethiopia controls,0
966,controls Everything,0
967,Everything read,0
968,war the,10
969,the supreme,11
970,fighting Sun,0
971,Well this,0
972,this is,23
973,is interesting,0
974,Thomas Cleary,0
975,Cleary Prolific,0
976,Prolific Translator,0
977,Translator of,0
978,of Eastern,0
979,Eastern Texts,0
980,Texts Dies,0
981,Dies at,0
982,Cleary ThomasTranslation,0
983,ThomasTranslation and,0
984,and InterpretersDeaths,0
985,InterpretersDeaths ObituariesBooks,0
986,ObituariesBooks and,0
987,and LiteratureBuddhismTaoismMuslims,0
988,LiteratureBuddhismTaoismMuslims and,0
989,and IslamThe,0
990,IslamThe Art,0
991,âœThe essence,0
992,essence of,1
993,of professionalism,1
994,professionalism is,1
995,the focus,1
996,focus upon,1
997,upon the,1
998,the work,9
999,work and,3
1000,and its,6
1001,its demands,1
1002,demands to,1
1003,the exclusion,1
1004,exclusion of,1
1005,of all,8
1006,all elseâ,0
1007,elseâ The,0
1008,iamtgz The,0
1009,A Republics,0
1010,Republics Rise,0
1011,Rise Clinton,0
1012,Clinton Aldrich,0
1013,Aldrich In,0
1014,In the,0
1015,the months,1
1016,months prior,1
1017,prior to,2
1018,to World,0
1019,World War,0
1020,War II,0
1021,II Nazi,0
1022,Nazi Germany,0
1023,Germany dispatched,0
1024,dispatched agents,1
1025,agents throughout,1
1026,throughout Europe,0
1027,Europe to,0
1028,to identify,3
1029,identify works,1
1030,works of,2
1031,art to,5
1032,be confiscated,0
1033,confiscated Derek,0
1034,Derek httpstcoAYYqFieb,0
1035,httpstcoAYYqFieb httpstcoWadFvxyq,0
1036,We definitely,0
1037,definitely dont,0
1038,dont need,0
1039,need a,3
1040,a rerun,0
1041,rerun of,0
1042,the but,2
1043,but her,0
1044,her emails,0
1045,emails breathless,0
1046,breathless reporting,1
1047,reporting of,1
1048,the NYT,0
1049,NYT circa,0
1050,circa But,0
1051,But they,0
1052,they so,1
1053,so want,1
1054,want to,16
1055,to go,4
1056,go therePeloton,0
1057,therePeloton RolexDog,0
1058,RolexDog bitingand,0
1059,bitingand the,0
1060,the latest,1
1061,latest idiocy,1
1062,idiocy anonymous,1
1063,anonymous art,1
1064,art buyers,0
1065,buyers Viewership,0
1066,Viewership among,0
1067,among cable,1
1068,cable news,1
1069,news is,1
1070,is way,1
1071,way down,0
1072,down so,0
1073,so they,2
1074,they want,2
1075,want the,1
1076,the culture,10
1077,culture war,8
1078,war bs,0
1079,bs too,0
1080,too httpstcotRHGHpQYh,0
1081,Well by,0
1082,the time,5
1083,time that,3
1084,that happens,2
1085,happens the,3
1086,the war,54
1087,war will,2
1088,will already,2
1089,already be,4
1090,be over,0
1091,over Kakaka,0
1092,Kakaka maybe,0
1093,maybe Ill,0
1094,Ill go,0
1095,go back,2
1096,back to,9
1097,to being,3
1098,being a,2
1099,a work,2
1100,work of,14
1101,He who,0
1102,who is,6
1103,is prudent,2
1104,prudent and,2
1105,and lies,2
1106,in wait,1
1107,wait for,7
1108,for an,3
1109,an enemy,4
1110,enemy who,2
1111,not will,0
1112,be victorious,0
1113,victorious Sun,0
1114,the middle,4
1115,middle of,4
1116,of some,4
1117,some calibrations,0
1118,MassEffect MassEffectLegendaryEdition,0
1119,MassEffectLegendaryEdition bersek,0
1120,bersek horror,0
1121,horror dark,0
1122,dark medieval,0
1123,medieval war,0
1124,war fantasy,0
1125,fantasy dark,0
1126,dark art,0
1127,art Abstract,0
1128,Abstract abstractart,0
1129,abstractart gif,0
1130,gif marvel,0
1131,marvel ps,0
1132,ps ps,0
1133,ps motionart,0
1134,motionart gaming,0
1135,gaming DigitalArtist,0
1136,DigitalArtist XboxSeriesS,0
1137,XboxSeriesS gaming,0
1138,gaming game,0
1139,game httpstcooukWMTA,0
1140,AtticBooks Hey,0
1141,AtticBooks How,0
1142,How much,0
1143,much is,1
1144,is The,0
1145,a thunderboltââšâšâš,0
1146,So what,0
1147,what is,8
1148,is Bitcoin,0
1149,Bitcoin planningðŸ,0
1150,Swap Bitcoin,0
1151,Bitcoin ðŸ,0
1152,ðŸ Gold,0
1153,Gold quickly,0
1154,quickly with,1
1155,with Vaultoro,0
1156,Vaultoro Direct,0
1157,Direct at,0
1158,at httpstcoybqnyngHMn,0
1159,httpstcoybqnyngHMn httpstcoYMBnzMtL,0
1160,In ancient,0
1161,ancient Egypt,0
1162,Egypt pregnant,0
1163,pregnant women,2
1164,women prayed,2
1165,prayed to,2
1166,to Taweret,0
1167,Taweret the,0
1168,the hippo,2
1169,hippo god,2
1170,god of,14
1171,of childbirth,0
1172,childbirth and,0
1173,and Bes,0
1174,Bes the,0
1175,the dwarf,2
1176,dwarf god,2
1177,war Nature,0
1178,Nature Outdoors,0
1179,Outdoors Person,0
1180,Person Human,0
1181,Human Night,0
1182,Night Hat,0
1183,Hat Clothing,0
1184,Clothing Apparel,0
1185,Apparel Art,0
1186,Art Astronomy,0
1187,Astronomy OuterSpace,0
1188,OuterSpace Universe,0
1189,Universe Space,0
1190,Space httpstcoYBlGQMRCfm,0
1191,WamoTF No,0
1192,No i,0
1193,i think,21
1194,think its,0
1195,its nice,0
1196,nice in,0
1197,the meet,1
1198,meet the,2
1199,the soldier,0
1200,soldier he,0
1201,he just,3
1202,just say,1
1203,say the,2
1204,the Art,0
1205,Art Of,0
1206,Of War,0
1207,War sentence,0
1208,sentence so,0
1209,so its,0
1210,its not,1
1211,not a,9
1212,a proof,1
1213,proof of,2
1214,of something,1
1215,something related,1
1216,related to,3
1217,be intellect,0
1218,intellect its,0
1219,its like,0
1220,a dumb,1
1221,dumb badass,1
1222,badass soldier,0
1223,âœTheÂenemy advances,0
1224,advances we,0
1225,we retreat,0
1226,retreat theÂenemyÂcamps,0
1227,theÂenemyÂcamps we,0
1228,we harass,0
1229,harass theÂenemyÂtires,0
1230,theÂenemyÂtires we,0
1231,we attack,0
1232,attack theÂenemyÂretreats,0
1233,theÂenemyÂretreats we,0
1234,we pursueâ,0
1235,KendriQBulelanI Clearly,0
1236,Clearly u,0
1237,u guys,1
1238,guys havent,0
1239,havent read,0
1240,the bible,2
1241,bible of,1
1242,Bitcoin Subtle,0
1243,Subtle differences,0
1244,differences in,0
1245,in cultures,1
1246,cultures in,1
1247,the West,0
1248,West amp,0
1249,amp in,0
1250,the East,0
1251,East In,0
1252,West some,0
1253,some still,1
1254,still try,1
1255,try their,1
1256,their luck,1
1257,luck spitting,1
1258,spitting in,1
1259,the Police,0
1260,Police Officer,0
1261,Officer face,0
1262,face In,0
1263,East an,0
1264,an order,0
1265,order must,0
1266,must be,5
1267,be followed,1
1268,followed by,1
1269,by execution,0
1270,execution httpstcokBcCAxkQX,0
1271,Gold Hedge,0
1272,Hedge Your,0
1273,Your Crypto,0
1274,Crypto Dreams,0
1275,Dreams Before,0
1276,Before TetherâƒïâïðŸ,0
1277,TetherâƒïâïðŸ httpstcoqfrReBmmb,0
1278,Who will,0
1279,will invest,2
1280,invest in,2
1281,in Bitcoin,0
1282,Bitcoin amp,0
1283,amp Crypto,0
1284,Crypto of,0
1285,the stone,2
1286,stone age,2
1287,age during,2
1288,during Silk,0
1289,Silk Road,0
1290,Road when,0
1291,when it,6
1292,was used,2
1293,used only,2
1294,only by,5
1295,by drug,2
1296,drug lords,2
1297,lords amp,0
1298,amp other,0
1299,other criminals,0
1300,GoldmanSachs jumped,0
1301,jumped the,1
1302,the shark,1
1303,shark this,1
1304,this time,1
1305,time frontrunning,0
1306,frontrunning their,0
1307,their High,0
1308,High Networth,0
1309,Networth clients,0
1310,clients httpstcokBcCAxkQX,0
1311,httpstcokBcCAxkQX ðŸ,0
1312,Your Dreams,0
1313,Dreams TetherâƒïâïðŸ,0
1314,TetherâƒïâïðŸ httpstcoJqQTfaey,0
1315,â Just,0
1316,Just published,0
1317,published a,1
1318,new episode,1
1319,episode of,1
1320,War The,0
1321,The Competitive,0
1322,Competitive k,0
1323,k Network,0
1324,Network AoW,0
1325,AoW Unbroken,0
1326,Unbroken ep,0
1327,ep Ad,0
1328,Ad Mech,0
1329,Mech falls,0
1330,falls to,1
1331,to Triple,0
1332,Triple Telemon,0
1333,Telemon Mitch,0
1334,Mitch Pelham,0
1335,Pelham Listen,0
1336,Listen httpstcoUlOWyAyAMM,0
1337,You have,0
1338,have to,9
1339,to pay,3
1340,pay dollars,1
1341,dollars even,1
1342,even for,1
1343,for Bitcoin,0
1344,Bitcoin Pizza,0
1345,What institution,0
1346,institution will,1
1347,the Stone,0
1348,Stone Age,0
1349,Age during,0
1350,criminals httpstcokBcCAxBCIv,0
1351,httpstcokBcCAxBCIv ðŸ,0
1352,TetherâƒïâïðŸ httpstcoAfwXOkoN,0
1353,Bitcoin Panda,0
1354,Panda Squeeze,0
1355,China ðŸNo,0
1356,ðŸNo banking,0
1357,banking accounts,0
1358,accounts no,0
1359,no access,1
1360,access to,1
1361,to any,1
1362,any payment,1
1363,payment systems,0
1364,systems Everybody,0
1365,Everybody must,0
1366,must report,1
1367,report on,1
1368,on you,1
1369,you amp,0
1370,amp all,0
1371,all your,5
1372,your illegal,2
1373,illegal activities,0
1374,activities Telephone,0
1375,Telephone hotlines,0
1376,hotlines are,1
1377,are already,1
1378,already in,1
1379,in operation,0
1380,operation httpstcokBcCAxkQX,0
1381,Gold Silver,0
1382,Silver httpstcowMIelGL,0
1383,In our,0
1384,our war,1
1385,war against,3
1386,against COVID,0
1387,COVID getting,0
1388,getting accurate,1
1389,accurate test,1
1390,test results,1
1391,results quickly,1
1392,quickly is,1
1393,is key,0
1394,Now a,0
1395,a stateoftheart,0
1396,stateoftheart lab,0
1397,lab in,1
1398,in Queensland,0
1399,Queensland is,0
1400,is processing,1
1401,processing thousands,1
1402,thousands of,2
1403,of tests,0
1404,tests hours,0
1405,hours a,1
1406,a day,0
1407,ajhegarty News,0
1408,News httpstcoesoKmJzXQ,0
1409,China As,0
1410,As far,0
1411,far as,1
1412,as authorities,1
1413,authorities will,1
1414,be concerned,0
1415,concerned U,0
1416,U dont,0
1417,dont exist,0
1418,exist with,1
1419,with all,2
1420,your Bitcoin,0
1421,Bitcoin daydreams,0
1422,daydreams but,0
1423,but all,2
1424,illegal financial,1
1425,financial moves,1
1426,moves will,1
1427,be qualified,1
1428,qualified under,1
1429,under antimoney,0
1430,antimoney laundering,0
1431,laundering financing,0
1432,financing of,1
1433,of terrorism,1
1434,terrorism amp,0
1435,amp applicable,0
1436,applicable criminal,0
1437,criminal laws,0
1438,laws httpstcokBcCAxkQX,0
1439,Hedge Tetherâƒïâï,0
1440,Tetherâƒïâï httpstcoqNEeXtyAb,0
1441,Im telling,0
1442,telling my,1
1443,my kids,1
1444,kids Soulja,0
1445,Soulja boy,0
1446,boy wrote,1
1447,wrote the,1
